Number in the App	Added Sugar List Name	Number in Added Sugar Repository	MonstersFamily	Description
145	Monk Fruit Juice Concentrate	140	Concentrate Monsters	Made by squeezing juice from the monk fruit and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
146	Monk Juice Concentrate	141	Concentrate Monsters	Made by squeezing juice from the monk fruit and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
147	Orange Juice Concentrate	145	Concentrate Monsters	Made by squeezing juice from the orange and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
148	Organic Apple Juice Concentrate	148	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Made by squeezing juice from the apple and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
149	Organic Blueberry Juice Concentrate	150	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Made by squeezing juice from the blueberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
150	Organic Cherry Juice Concentrate	156	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Made by squeezing juice from the cherry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
151	Organic Dried Cherry Juice Concentrate	170	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Cherry juice is a fruit juice consisting of the juice of cherries. It is then dried and concentrated, removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
152	Organic Dried Cranberry Juice Concentrate	171	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Cranberry juice is a fruit juice consisting of the juice of cranberries. It is then dried and concentrated, removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
153	Organic Fruit Juice Concentrate	176	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Made by squeezing juice from fruit and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
154	Organic Grape Juice Concentrate	178	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Made by squeezing juice from the grape and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
155	Organic Lemon Juice Concentrate	187	Concentrate Monsters	No chemical additives or resins are used in a certified organic process. Made by squeezing juice from the lemon and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
156	Organic Pineapple Juice Concentrate	196	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Made by squeezing juice from the pineapple and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
157	Organic Raisin Juice Concentrate	198	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Made by obtaining juice from the raisin and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
158	Organic Strawberry Juice Concentrate	204	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Made by squeezing juice from the strawberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
159	Organic White Grape Juice Concentrate	210	Concentrate Monsters	No chemical additives or resins are used in the certified organic process. Made by squeezing juice from the white grape and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
160	Passion Fruit Juice Concentrate	212	Concentrate Monsters	Made by squeezing juice from the passion fruit and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
161	Peach Juice Concentrate	213	Concentrate Monsters	Made by squeezing juice from the peach and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
162	Pear Juice Concentrate	214	Concentrate Monsters	Made by squeezing juice from the pear and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
163	Pineapple Juice Concentrate	216	Concentrate Monsters	Made by squeezing juice from the pineapple and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
164	Plum Juice Concentrate	218	Concentrate Monsters	Made by squeezing juice from the plum and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
165	Pomegranate Juice Concentrate	219	Concentrate Monsters	Made by squeezing juice from the pomegrate and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
166	Raisin Juice Concentrate	225	Concentrate Monsters	Made by obtaining juice from the raisin and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
167	Raspberry Juice Concentrate	227	Concentrate Monsters	Made by squeezing juice from the raspberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
168	Strawberry Juice Concentrate	238	Concentrate Monsters	Made by squeezing juice from the strawberry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
169	Tart Cherry Juice Concentrate	249	Concentrate Monsters	Tart cherry juice concentrate is made by squeezing juice from the tart cherry and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
170	Watermelon Juice Concentrate	254	Concentrate Monsters	Made by squeezing juice from the watermelon and removing a large percentage of the water, usually by heat, it is then pasteurized to ensure that it stays fresh.
171	White Grape Juice Concentrate	259	Concentrate Monsters	White grape juice concentrate is made by squeezing juice from the white grape and removing a large percentage of the water, usually by heat. It is then pasteurized to ensure that it stays fresh.
172	Beet Sugar	9	Obvious Monsters	The sugar beet has a white, fleshy root (a taproot) with a flat crown. Sugar is formed by photosynthesis in the leaves and is then stored in the root.
173	Brown Sugar	21	Obvious Monsters	Brown sugar is a sucrose sugar product with brown color due to the presence of molasses.
174	Brown Sugar Syrup	22	Obvious Monsters	"Brown sugar syrup adds a molasses-like richness to juices; it is made by heating brown sugar and water together."
175	Caramelized Sugar	31	Obvious Monsters	Caramelized sugar is simply a mixture of sugar and water cooked until it becomes syrup and darkens.
176	Caramelized Sugar Syrup	32	Obvious Monsters	Caramelized sugar syrup is a term most often applied to melting sugar until it becomes a caramel color liquid. Caramelized sugar syrup is simply a mixture of sugar and water cooked until it becomes syrupy and darkens, and reaches a temperature from 340 to 350 degrees F.
177	Coconut Blossom Sugar	38	Obvious Monsters	Coconut blossom sugar is the dehydrated sap of the coconut palm containing small amounts of minerals, antioxidants and fiber.
178	Coconut Palm Sugar	41	Obvious Monsters	Coconut palm sugar is produced from the sap of the flower bud stem of the coconut palm.
179	Coconut Sugar	42	Obvious Monsters	Coconut sugar is the dehydrated sap of the coconut palm containing small amounts of minerals, antioxidants, and fiber.
180	Coconut Sugar Crystals	43	Obvious Monsters	Coconut crystals are made from dried coconut sap nectar which hardens into brown coconut sugar.
181	Dark Brown Sugar	55	Obvious Monsters	Brown sugar is a sucrose sugar product with brown color due to the presence of molasses. Dark brown sugar is approximately 6.5% molasses based on total volume.
182	Decorative Sugars	59	Obvious Monsters	Decorative sugar is the generic name for sweet-tasting, soluble carbohydrates, designed and crafted to add visual appeal and sweetness to baked goods.
183	Demerara Sugar	62	Obvious Monsters	Demerara sugar, or raw (cane) sugar, is made from the juice of the sugar cane plant with brown coloring due to the presence of molasses, a byproduct of refining sugarcane that contains a number of essential minerals and vitamins.
184	Fondant Sugar	86	Obvious Monsters	Fondant Sugar is up to 100 times finer than standard confectioners sugar and is specifically used for the making of fondant, a smooth sugar coating or filling. Fondant is typically used on wedding cakes, pastries, marshmallows, and candy.
185	Golden Brown Sugar	99	Obvious Monsters	Golden brown sugar is made by mixing white sugar and molasses.
186	Golden Sugar	100	Obvious Monsters	Golden sugar is made from pure can sugar with the addition of molasses.
187	Granulated Sugar	102	Obvious Monsters	Granulated sugar or regular sugar, is the sugar commonly used in North America and Europe, made either of beet sugar or cane sugar, which has undergone a refining process.
188	Grape Sugar	104	Obvious Monsters	Grape sugar is dextrose obtained from grapes.
189	Icing Sugar	111	Obvious Monsters	Icing sugar is finely ground sugar produced by milling granulated sugar into a powdered state
190	Invert Sugar	114	Obvious Monsters	Invert sugar is produced when crystalized sugar is brown down into fructose and glucose.
191	Invert Sugar Cane Syrup	115	Obvious Monsters	Invert sugar cane syrup is an edible mixture of two simple sugars-glucose and fructose-that is made by heating sugar cane with water.
192	Invert Sugar Syrup	116	Obvious Monsters	Invert sugar syrup is an edible mixture of two simple sugars-glucose and fructose-that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily.
193	Light Brown Sugar	124	Obvious Monsters	Brown sugar is a sucrose sugar product with brown color due to the presence of molasses. Light brown sugar is approximately 3.5% molasses based on total volume.
194	Liquid Sugar	125	Obvious Monsters	Liquid sugar is crystalized sugar that has been dissolved in water.
195	Maple Sugar	133	Obvious Monsters	Maple sugar is what remains after the sap of the sugar maple is boiled for longer than is needed to create maple syrup or maple taffy
196	Organic Brown Sugar	152	Obvious Monsters	No chemical additives or resins are used in a certified organic process. Brown sugar is a sucrose sugar product with brown color due to the presence of molasses.
197	Organic Coconut Palm Sugar	160	Obvious Monsters	No chemical additives or resins are used in a certified organic process. Coconut palm sugar is produced from the sap of the flower bud stem of the coconut palm.
198	Organic Coconut Sugar	161	Obvious Monsters	No chemical additives or resins are used in a certified organic process. Coconut sugar is the dehydrated sap of the coconut palm containing small amounts of minerals, antioxidants, and fiber.
199	Organic Date Sugar	165	Obvious Monsters	No chemical additives or resins are used in a certified organic process. Organic Date Sugar is made with dehydrated dates that are ground to resemble granulated sugar.
200	Organic Invert Sugar	182	Obvious Monsters	No chemical additives or resins are used in the certified organic process. Invert sugar is produced when crystalized sugar (sucrose) is broken down into varying ratios of fructose and glucose.
201	Organic Invert Sugar Cane Syrup	183	Obvious Monsters	Organic invert sugar cane syrup is an edible mixture of two simple sugars-glucose and fructose-that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily.
202	Organic Invert Sugar Syrup	184	Obvious Monsters	Organic invert sugar syrup is an edible mixture of two simple sugars-glucose and fructose-that is made by heating sucrose with water. It is thought to be sweeter than table sugar, and foods that contain it retain moisture and crystallize less easily.
203	Organic Light Brown Sugar	188	Obvious Monsters	No chemical additives or resins are used in a certified organic process. Brown sugar is a sucrose sugar product with brown color due to the presence of molasses. Light brown sugar is approximately 3.5% molasses based on total volume.
204	Organic Panela Sugar	195	Obvious Monsters	No chemical additives or resins are used in the certified organic process. Panela is unrefined whole cane sugar, typical of Central and Latin America, which is a solid form of sucrose derived from the boiling and evaporation of sugarcane juice
205	Organic Powdered Sugar	197	Obvious Monsters	No chemical additives or resins are used in the certified organic process. Powdered sugar, also called confectioners' sugar, is a finely ground sugar produced by milling granulated sugar into a powdered state.
206	Organic Sugar	205	Obvious Monsters	No chemical additives or resins are used in the certified organic process. Sugar is the generic name for sweet-tasting, soluble carbohydrates. Various types of sugar are derived from different sources.
207	Organic Sugar Cane Syrup	206	Obvious Monsters	Organic sugar cane syrup is made by evaporating sugar cane juice. Usually, organic sugar cane juice is boiled for several hours, so as to yield a thick syrup that is sweeter than sugar. During the boiling process, baking soda and lemon juice are also added to the juice.
208	Palm Sugar	211	Obvious Monsters	Palm sugar is a sweetener that is made from the sap present in the flower buds of the coconut palm tree. It is known as natural sugar because it involves minimum processing is known to be rich in vitamins and minerals.
209	Powdered Sugar	220	Obvious Monsters	Powdered sugar, also called confectioners' sugar, is a finely ground sugar produced by milling granulated sugar into a powdered state. It usually contains a small amount of anti-caking agent to prevent clumping and improve flow.
210	Raw Sugar	230	Obvious Monsters	Raw (cane) sugar, or turbinado (brown) sugar, is made from the juice of the sugar cane plant with brown coloring due to the presence of molasses, a byproduct of refining sugarcane that contains a number of essential minerals and vitamins.
211	Sugar	240	Obvious Monsters	Sugar is the generic name for sweet-tasting, soluble carbohydrates. Various types of sugar are derived from different sources. Simple sugars are called monosaccharides and include glucose, fructose, and galactose.
212	Sugar Beet Syrup	241	Obvious Monsters	Sugar beet syrup is made from the juice of harvested sugar beets. It is then cooked and concentrated.
213	Sugar Cane Syrup	242	Obvious Monsters	Sugar cane syrup is made by evaporating sugar cane juice. Usually, sugar cane juice is boiled for several hours, so as to yield a thick syrup that is sweeter than sugar. During the boiling process, baking soda and lemon juice are also added to the juice.
214	Turbinado Sugar	252	Obvious Monsters	"Turbinado sugar is made from the juice of the sugar cane plant; it is a byproduct of refined sugarcane that contains a number of essential minerals and vitamins."
215	White Granulated Sugar	258	Obvious Monsters	White granulated sugar is pure cane sugar that has been stripped of any molasses.
216	White Sugar	260	Obvious Monsters	White sugar is made either of beet sugar or cane sugar, which has undergone a refining process which completely removes the molasses and transforms the white sugar into sucrose.
217	Yellow Sugar	262	Obvious Monsters	Yellow sugar is a light brown sugar with a slight taste of molasses.
218	Agave Nectar	1	Strange Monsters	Agave nectar is produced from the agave plant, juice is extracted from the core, filtered, and heated to break the complex components into simple sugars.
219	Barley Malt	5	Strange Monsters	Barley malt is barley that has been allowed to germinate by soaking the grain in water. This prepares the starches to be converted into fermentable sugars.
220	Barley Malt Extract	6	Strange Monsters	Barley malt extract is barley that has been allowed to germinate by soaking the grain in water. This prepares the starches to be converted into fermentable sugars. Insoluble fiber is removed and the resulting sugary liquid is concentrated to make a viscous, stable liquid sweetener or is dried to make a powder.
221	Blackstrap Molasses	14	Strange Monsters	The triple boiling and sugar extraction process results in Blackstrap molasses containing vitamins and minerals in a more concentrated form, along with antioxidant compounds, which may help prevent cell damage from free radicals.
222	Clover Honey	37	Strange Monsters	Clover honey is honey that has been harvested from bees that have gathered nectar from a majority of clovers.
223	Coconut Nectar	39	Strange Monsters	Coconut nectar is made when the coconut tree is tapped and produces a nutrient-rich sap.
224	Coconut Palm Nectar	40	Strange Monsters	Coconut Palm Nectar comes from sweet sap after tapping stalks or stems of flowering coconut blossoms. This watery sap is further evaporated at low temperatures, forming a pourable syrup.
225	Corn Sweetener	48	Strange Monsters	Corn sweetener is made from the starch of corn and contains varying amounts of maltose and higher oligosaccharides, depending on the grade.
226	Date Crystals	56	Strange Monsters	Date Crystals are small, dehydrated date pieces that can be used dry as a sweetener or rehydrated to add both sweetness and a little texture.
227	Diastatic Malt	67	Strange Monsters	Diastatic malt is a grain which has been sprouted, dried, and grounded into a powder. By sprouting the grain (often wheat or barley) and letting the grain grow into a small sprout, it activates the enzymes inside the grain.
228	Diastatic Malt Powder	68	Strange Monsters	Diastatic malt powder is a grain that has been sprouted, dried and grounded into a powder. It is used in many baked good to improve texture and rise of the product.
229	Ethyl Maltol	77	Strange Monsters	Ethyl maltol is an organic compound that is a common flavorant in some confectioneries. It is a white solid with a sweet smell that can be described as caramelized sugar and cooked fruit.
230	Evaporated Coconut Palm Nectar	84	Strange Monsters	Evaporated coconut palm nectar is a produced from fresh sap after cutting flower buds of the coconut palm
231	Fructan	87	Strange Monsters	A fructan is a polymer of fructose molecules normally with a sucrose unit. Fructans occur in foods such as agave, artichokes, asparagus, leeks, garlic, onions, yac?n, j?cama, and wheat.
232	Fructooligosaccharides	88	Strange Monsters	Fructooligosaccharides are forms of oligosaccharides, a saccharide polymer, and come from natural sources. It is a carbohydrate, but usually listed under fibers. It is also used as a sweetener.
233	Galactooligosaccharides	92	Strange Monsters	Galactooligosaccharides belong to the group of prebiotics. Prebiotics are defined as non-digestible food ingredients that beneficially affect the host by stimulating the growth and or activity of beneficial bacteria in the colon.
234	Honey	108	Strange Monsters	Honey is a sweet food substance produced by bees and some related insects. Bees produce honey from the sugary secretions of plants (floral nectar) or from secretions of other insects.
235	Honey Powder	109	Strange Monsters	Honey powder can be used as a sweetener or flavoring. In powder form, the consistency is much easier to maintain, making it usable for dry rubs, cake, cookies, or bread mixes.
236	Isomalto-Oligosaccharide	118	Strange Monsters	Isomalto-oligosaccharide is a mixture of short-chain carbohydrates which has a digestion-resistant property. IMO is found naturally in some foods, as well as being manufactured commercially
237	Malt Extract	127	Strange Monsters	Malt extract is a sweet, sticky substance obtained from an infusion of malt and water.
238	Maltol	130	Strange Monsters	A naturally occurring organic compound used primarily as a flavor enhancer, found in the bark of larch tree, pine needles, and roasted malt. It is a white crystalline powder that is soluble in hot water.
239	Molasses	137	Strange Monsters	Sugar cane or sugar beets are crushed and the juice is extracted, and then boiled down to form sugar crystals which are removed from the liquid. Molasses is the thick, brown syrup left after the sugar has been removed from the juice.
240	Molasses Granules	138	Strange Monsters	Minimally processed and maintains many of the natural vitamins and minerals found in sugar cane.
241	Molasses Powder	139	Strange Monsters	Molasses is the dark, sweet syrup created in the sugar cane extraction process containing particularly large components of calcium, magnesium and potassium.
242	Muscovado	142	Strange Monsters	Muscovado is a type of partially refined to unrefined sugar with a strong molasses content and flavor.
243	Non Gmo Honey	143	Strange Monsters	Non-GMO honey is honey in its natural state as it has been produced from the nectar of plants and is never exposed to artificial manipulation.
244	Organic Agave Nectar	146	Strange Monsters	No chemical additives or resins are used in a certified organic process. To produce agave nectar from the agave plant, juice is extracted from the core of the agave, filtered, and then heated to break the complex components into simple sugars.
245	Organic Coconut Blossom Nectar	157	Strange Monsters	No chemical additives or resins are used in the certified organic process. Coconut blossom nectar is sap of the coconut palm containing small amounts of minerals, antioxidants and fiber.
246	Organic Coconut Nectar	158	Strange Monsters	No chemical additives or resins are used in a certified organic process. Coconut nectar is made when the coconut tree is tapped and produces a nutrient-rich sap.
247	Organic Coconut Palm Nectar	159	Strange Monsters	No chemical additives or resins are used in a certified organic process. Coconut palm nectar comes from sap produced from tapping the stalks or stems of flowering coconut blossoms.
248	Organic Date Nectar	164	Strange Monsters	No chemical additives or resins are used in a certified organic process. Date nectar is a whole food sweetener that contains plenty of fiber, minerals, and antioxidants. Date nectar is a significant source of simple carbohydrates and calories, so it should used with caution.
249	Organic Evaporated Coconut Palm Nectar	174	Strange Monsters	No chemical additives or resins are used in the certified organic process. Evaporated coconut palm nectar is a produced from fresh sap after cutting flower buds of the coconut palm.
250	Organic Honey	179	Strange Monsters	No chemical additives or resins are used in a certified organic process. Honey is a sweet substance produced by bees and some related insects. Bees produce honey from the sugary secretions of plants or from secretions of other insects.
251	Organic Molasses	192	Strange Monsters	No chemical additives or resins are used in a certified organic process. Sugar cane or sugar beets are crushed and the juice is extracted and boiled to form sugar crystals which are removed from the liquid. Molasses is the thick, brown syrup left after the sugar has been removed from the juice.
252	Organic Molasses Granules	193	Strange Monsters	No chemical additives or resins are used in a certified organic process. Organic Molasses Granules are a dark, sweet, grainy sugar containing particularly large components of calcium, magnesium and potassium.
253	Organic Non-Gmo Honey	194	Strange Monsters	No chemical additives or resins are used in a certified organic process. Non-GMO honey is honey in its natural state as it has been produced from the nectar of plants, and never exposed to artificial manipulation.
254	Organic Raw Honey	200	Strange Monsters	No chemical additives or resins are used in a certified organic process. Raw honey is the natural honey bees produce directly in a hive without additional processing or filtration.
255	Pure Local Sorghum Molasses	223	Strange Monsters	Sorghum cane is harvested during September and October and the juice is extracted from the freshly cut plants in the field.
256	Raisin Nectar	226	Strange Monsters	Raisin nectar, is juice from a raisin often diluted (to a degree limited by regulations) with water and contain additives besides raisin juice, including natural and artificial sweeteners, and preservatives.
257	Raw Honey	229	Strange Monsters	Raw honey is made by extracting honey from the honeycombs of the hive and straining it over a mesh or nylon cloth to separate the honey from impurities.
258	Sugarcane Molasses	243	Strange Monsters	Sugarcane molasses is the liquid produced after evaporating sugarcane juice and removinng all or any part of the crystallizable sugar.
259	Treacle	250	Strange Monsters	Treacle is any uncrystallized syrup made during the refining of sugar. The most common forms of treacle are golden syrup, a pale variety, and a darker variety known as black treacle.
260	Unsulfured Molasses	253	Strange Monsters	Unsulphured molasses is made from matured cane plants that have been allowed to ripen naturally in the field.
261	White Grain Sorghum Extract	257	Strange Monsters	White grain sorghum extract is a binder and bodifying agent that provides viscosity for baking. It helps the final product retain moisture.
262	Wildflower Honey	261	Strange Monsters	Wildflower honey is any honey that comes strictly from wildflowers.
