Added Sugar List Name,Number in Added Sugar Repository,MonstersFamily,Where it's hidden,Description ,Wiki (if it has)
Carrot juice concentrate,33,Juice Concentrate Monster,Weight Watchers Smart Ones SmartMade Roasted Vegetables with Angel Hair),,
Raw sugar,218,Sugar Monster,Starbucks Cubano Sandwich),,
Sugar,228,Sugar Monster,Honey Nut Cheerios),,
Organic sugar,190,Sugar Monster,Similac Organic Baby Formula),,
Cultured sugar,54,Sugar Monster,"Wegmans Sesame Chicken with Vegetable Lo Mein, FAMILY PACK)",,
Decorative sugars,61,Sugar Monster,Lucy‚Äôs Holiday Sugars Cookies),,
Invert sugar,106,Sugar Monster,Pringles Sour Cream & Onion),,
Organic invert sugar,169,Sugar Monster,Wholesome Organic Vanilla Frosting),,
Liquid sugar,113,Sugar Monster,Wegmans Pink Grapefruit Sorbet),,
Powdered sugar,208,Sugar Monster,Whole Foods Gluten Free Vanilla Confetti Cake),,
Organic powdered sugar,184,Sugar Monster,Unreal Dark Chocolate Peanut Butter Cups),,
Granulated sugar,93,Sugar Monster,Shane Candies Milk/Dark Chocolate Assortment),,
Sugar cane granulated,230,Sugar Monster,Finally Ginger Original Ginger Cookie),,
Raw cane sugar,217,Sugar Monster,Finally Ginger Original Ginger Cookie),,
Cane sugar,28,Sugar Monster,Starbucks Smoked Mozzarella & Roasted Pepper Sandwich),,
Pure cane sugar,210,Sugar Monster,Starbucks Almond Butter Strawberry & Jam Sandwich),,
Dehydrated cane sugar,63,Sugar Monster,Hatfield‚Äôs White Chocolate Chips),,
Evaporated cane sugar,77,Sugar Monster,"Popcorners, Kettle Corn)",,
Organic dried cane sugar,154,Sugar Monster,Clif Bar Builder's Chocolate Mint Protein Bar),,
Organic cane sugar,143,Sugar Monster,365 Everyday Value Organic Whole Wheat Buttermilk & Waffle Mix),,
Invert cane sugar,105,Sugar Monster,EM-Power Peanut Butter Paradise Protein Bars),,
Organic invert cane sugar,167,Sugar Monster,Bakery on Main's Organic Happy Granola Sprouted Maple Quinoa),,
Organic panela sugar,183,Sugar Monster,"Woodstock Organic BBQ Sauce, Hickory)",,
Organic fair trade unrefined cane sugar,162,Sugar Monster,Organic Valley Grassmilk Vanilla Yogurt),,
Powdered cane sugar,207,Sugar Monster,DeLuscious Chocolate Decadence Cookies),,
Milled cane sugar,127,Sugar Monster,Starbucks Fresh Blueberries and Honey Greek Yogurt Parfait),,
Organic milled cane sugar,177,Sugar Monster,"Wegmans Food You Feel Good About Granola, Organic, Coconut & Baobab)",,
Coconut sugar,39,Sugar Monster,Miracle Noodle),,
Coconut sugar crystals,40,Sugar Monster,The Great Unbaked Dark Chocolate Truffle Balls),,
Organic coconut sugar,148,Sugar Monster,GrandyOats Coconut + Fruit Granola [Gluten Free]),,
Coconut blossom sugar,36,Sugar Monster,Dream Pops Chocolate Lion),,
Coconut palm sugar,38,Sugar Monster,Fage Crossovers),,
Organic coconut palm sugar,150,Sugar Monster,Purely Elizabeth Original Ancient Grain Granola),,
Palm sugar,196,Sugar Monster,ABC Sweet Soy Sauce),,
Maple sugar,122,Sugar Monster,Base Culture Paleo Almond Butter Gingerbread),,
Grape sugar,96,Sugar Monster,Optimum Nutrition Whey Protein Cake Bites Birthday Cake),,
Beet sugar,10,Sugar Monster,Nutella),,
Cultured corn sugar,51,Sugar Monster,Weight Watchers SmartMade Roasted Vegetable Enchilada Bake),,
White sugar,246,Sugar Monster,Fun Factory Sweet Shoppe Blueberry Popcorn),,
Brown sugar,21,Sugar Monster,Stubb‚Äôs Stick Sweet Bar-B-Q Sauce),,
Light brown sugar,112,Sugar Monster,Oatmega Cookie Peanut Butter Flavor),,
Dark brown sugar,56,Sugar Monster,Fleurir Chocolates Cashew Toffee with Golden Flaxseed),,
Brown cane sugar,18,Sugar Monster,Tate's Chocolate Chip Cookies),,
Light brown cane sugar,111,Sugar Monster,True Made Foods Pitmaster Low Sugar BBQ Sauce- KC-Style),,
Organic light brown sugar,174,Sugar Monster,Jackie‚Äôs Cookie Babies Gluten Free/Vegan Chocolate Chocolate Chip Cookies),,
Dark brown cane sugar,55,Sugar Monster,Tefftations Gluten Free Cookie Screamin' Chocolate Chip and Walnut),,
Caramelized sugar,31,Sugar Monster,GravyMaster),,
Organic brown sugar,141,Sugar Monster,Annie‚Äôs Organic Organic Brown Sugar Cinnamon Toaster Pastries),,
Turbinado sugar,241,Sugar Monster,Au Bon Pain Turkey Club),,
Turbinado brown sugar,240,Sugar Monster,Lesley Stowe Raincoast Veggie Flats Beet and Balsamic Vinegar),,
Demerara sugar,64,Sugar Monster,Omaha Steaks Sweet Smoky Applewood Rub),,
Confectioners’ sugar,41,Sugar Monster,Whole Foods Gluten-Free Vanilla Cupcakes),,
Fondant sugar,79,Sugar Monster,Dan‚Äôs chocolates Classic Assorted),,
Icing Sugar,103,Sugar Monster,Trader Joe's Peaches & Cream Tarte),,
Date crystals,58,Other Monster,Pascha Make Me Smile! Chocolate Fruit Spread),,
Date nectar,59,Other Monster,Rebel Kitchen Coffee Mylk),,
Organic agave,134,Other Monster,"Wegmans Sushi Party Pack, FAMILY PACK)",,
Agave nectar,1,Other Monster,Panera Agave Lemonade),,
Organic agave nectar,135,Other Monster,The GFB Oatmeal Raisin),,
Coconut nectar,37,Other Monster,The Great Unbaked Dark Chocolate Truffle Balls),,
Organic coconut nectar,146,Other Monster,Rise Bar Lemon Cashew Protein Bar),,
Organic coconut palm nectar,147,Other Monster,Rickaroons Chocolate Blonde),,
Organic evaporated coconut palm nectar,161,Other Monster,Rickaroons Chocolate Blonde),,
Raisin nectar,214,Other Monster,Silver Hills Squirrelly Bread),,
Barley malt,6,Other Monster,Sunbelt Bakery Chocolate Chip Granola Bar),,
Barley malt extract,7,Other Monster,Clif Bar Chocolate Chip),,
Diastatic malt,69,Other Monster,Prager Brothers Croissant),,
Corn sweetener,45,Other Monster,Blue Pacific Grill Thai Peanut Sauce),,
Fruit juice,83,Other Monster,Dannon Oikos Triple Zero Chocolate),,
Honey,100,Other Monster,Honey Nut Cheerios),,
Pure white honey,212,Other Monster,Blue Pacific Grill Honey Garlic Soy Sauce),,
Clover honey,35,Other Monster,Tears of Joy Kent‚Äôs Sauce),,
Wildflower honey,247,Other Monster,Udi‚Äôs Gluten Free Au Naturel Granola),,
Organic raw honey,186,Other Monster,Bliss Nut-Butters All Natural Peanut Butter),,
Organic honey,166,Other Monster,Sahale Snacks Honey Almonds Glazed Mix),,
Non-GMO honey,131,Other Monster,Barbara's Better Than Granola: Dark Chocolate Cranberry),,
Organic non-GMO honey,180,Other Monster,Pamela‚Äôs Mini Honey Grahams),,
Processed honey,209,Other Monster,House Foods Vermont Curry Sauce Hot),,
Honey Powder,102,Other Monster,Tazo Green Tea Matcha Latte),,
Malt extract,115,Other Monster,Fiber One Chewy Bars Oats & Chocolate),,
Panela,197,Other Monster,Jiva Coffee Cubes Classic),,
Rapadura,215,Other Monster,Top Organic Rapunzle Dark Chocolate Bar With Hazelnut),,
Muscovado,130,Other Monster,Zotter Chocolate Cacao Nature 75% with Muscovado sugar crackers),,
Treacle,238,Other Monster,Kilwins Red Licorice Twists),,
Molasses,128,Other Monster,Weight Watchers Smart Made Rosemary Grilled Beef & Vegetables),,
Barbados molasses,5,Other Monster,Alien Fresh Filet Mignon Jerky - BBQ On The Moon),,
Blackstrap molasses,14,Other Monster,Whole Foods Gluten-Free Molasses Ginger Cookies),,
Sorghum,223,Other Monster,Steadfast Sorghum Pale Ale),,
Sorghum molasses,224,Other Monster,Buchi Sovereign Kombucha Ginger + Peach + Molasses),,
Unsulfured molasses,242,Other Monster,Better than Granola: Oats & Honey Granola),,
Organic molasses,178,Other Monster,Dave‚Äôs Killer Bread 100% Whole Wheat),,
Organic molasses granules,179,Other Monster,St. Claire‚Äôs Premium Organic Mints),,
Molasses powder,129,Other Monster,Tim Hortons Maple Cinnamon French Toast Bagel),,
Fructan,80,Other Monster,Barbara's Better Than Granola Dark Chocolate Cranberry Granola),,
Maltol,118,Other Monster,Mccormick Culinary¬Æ Lemon 'N Herb Seasoning),,
Ethyl maltol,73,Other Monster,Premio Chicken Breakfast Sausage with Apple & Maple),,
Fructooligosaccharides,81,Other Monster,Similac Organic Baby Formula),,
Galactooligosaccharides,85,Other Monster,Similac Go & Grow Non-GMO Toddler Drink),,
Isomalto-oligosaccharide,104,Other Monster,Angie‚Äôs Boomchikapop Salted Caramel Popcorn),,
